search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
"Mcdonald College, NSW, 2137, Australia",-33.8586747,151.0872662,-33.8598727,-33.857578,151.0865171,151.0880915,"The Mcdonald College, Pomeroy Street, North Strathfield, Inner West, Sydney, City of Canada Bay Council, New South Wales, 2137, Australia",way,508125119,nominatim,ok,exact
"Moe Newborough, VIC, 3825, Australia",-38.175432,146.3240489,-38.1788622,-38.1732014,146.3171557,146.3299873,"John Field Drive, Newborough, Yallourn, City of Latrobe, Victoria, 3825, Australia",way,782976638,nominatim,ok,exact
"Nepean Hospital - Kingswood, NSW, 2747, Australia",-33.7599321,150.7134912,-33.7615011,-33.7574607,150.7111111,150.7162947,"Nepean Hospital, Somerset Street, Kingswood, Penrith, Sydney, Penrith City Council, New South Wales, 2747, Australia",relation,13718349,nominatim,ok,exact
"PFI Darra, QLD, 4076, Australia",-27.4809085,153.0337429,-27.4810455,-27.480745,153.033493,153.0339932,"Brisbane Australia Temple, 200, River Terrace, Kangaroo Point, Greater Brisbane, Queensland, 4169, Australia",way,602269498,nominatim,ok,postcode
"REMONDIS-Tomago, NSW, 2322, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Gate 5-6 Avenue, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2033, Australia",way,173530296,nominatim,ok,postcode
"Story Fresh Produce, QLD, 4358, Australia",-27.5950998,151.9504979,-27.5959201,-27.5935447,151.9500467,151.9510758,"Australia Post, Kearneys Spring, Toowoomba, Toowoomba Regional, Queensland, 4350, Australia",way,980609297,nominatim,ok,postcode
"TIP TOP Carrara, QLD, 4211, Australia",-27.9903729,153.3338425,-27.9906162,-27.9901009,153.333568,153.3341166,"Services Australia - Nerang, 37-39, Cotton Street, Nerang, Gold Coast City, Queensland, 4211, Australia",way,1220283549,nominatim,ok,postcode
"Truganina, VIC, 3029, Australia",-37.8089015,144.721139,-37.868739,-37.734814,144.659455,144.769197,"Truganina, Melbourne, City of Wyndham, Victoria, 3029, Australia",relation,2425468,nominatim,ok,exact
"UPS SCS Australia, NSW, 2175, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.064905,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
"Petstock DC Avalon, VIC, 3212, Australia",-38.165166,144.3376679,-38.175166,-38.155166,144.3276679,144.3476679,"Australia, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",node,12137181988,nominatim,ok,postcode
"REMONDIS-Wingfield, SA, 5013, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
"BAE Systems Edinburgh Parks, SA, 5111, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
"Latrobe Leisure Morwell, VIC, 3840, Australia",-38.165166,144.3376679,-38.175166,-38.155166,144.3276679,144.3476679,"Australia, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",node,12137181988,nominatim,ok,postcode
"Acacia Ridge, QLD, 4110, Australia",-27.5857312,153.025206,-27.6057312,-27.5657312,153.005206,153.045206,"Acacia Ridge, Greater Brisbane, Queensland, 4180, Australia",node,106438405,nominatim,ok,exact
"GPE_LYKA WELLNESS, VIC, 3175, Australia",-37.8688729,145.2126338,-37.869025,-37.8686207,145.2124983,145.2127695,"Melbourne Australia Temple, Pumps Court, Wantirna South, Melbourne, City of Knox, Victoria, 3152, Australia",way,24054567,nominatim,ok,postcode
"Greenlink 7, VIC, 3977, Australia",-37.8688729,145.2126338,-37.869025,-37.8686207,145.2124983,145.2127695,"Melbourne Australia Temple, Pumps Court, Wantirna South, Melbourne, City of Knox, Victoria, 3152, Australia",way,24054567,nominatim,ok,postcode
"IBIS Care, NSW, 2223, Australia",-33.9822693,151.1098789,-33.9826352,-33.9819368,151.1095282,151.1103181,"Ibis Care Blakehurst Mews, 28-30, Cheddar Street, Blakehurst, St George, Sydney, Georges River Council, New South Wales, 2221, Australia",way,1162998173,nominatim,ok,exact
"Agile Energy - T&P 361kW, NSW, 2015, Australia",-33.8737539,151.2095867,-33.8738039,-33.8737039,151.2095367,151.2096367,"HarperCollins Publishers Australia, 201, Elizabeth Street, Koreatown, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia",node,6602426833,nominatim,ok,postcode
"Cairns Colonial Club, QLD, 4870, Australia",-16.9109398,145.7507104,-16.9110032,-16.910871,145.750616,145.7508076,"St John Ambulance (QLD) Manunda, Cairns, Macnamara Street, Manunda, Cairns, Cairns Regional, Queensland, 4870, Australia",way,1365670797,nominatim,ok,postcode
"CALABRIA FAMILY WINES PTY LTD, NSW, 2680, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Gate 5-6 Avenue, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2033, Australia",way,173530296,nominatim,ok,postcode
"Pikes Wines Pty Ltd, SA, 5453, Australia",-34.097735,139.1556029,-34.126787,-34.0367039,139.0949723,139.2314232,"Australia Plains, The Regional Council of Goyder, South Australia, 5374, Australia",relation,6539875,nominatim,ok,postcode
"Region Group Currambine, WA, 6028, Australia",-31.950652,115.7978755,-31.9887127,-31.9478379,115.7778725,115.8225371,"University of Western Australia, 35, Stirling Highway, Crawley, City of Perth, Western Australia, 6009, Australia",relation,7398658,nominatim,ok,postcode
"Cubbie, QLD, 4486, Australia",-28.606943,148.028281,-28.616943,-28.596943,148.018281,148.038281,"Cubbie, Dirranbandi, Balonne Shire, Queensland, 4486, Australia",node,3594179281,nominatim,ok,exact
"DHL Skyline, NSW, 2171, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.064905,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
"Hendys Road Numurkah, VIC, 3636, Australia",-36.0553186,145.4784472,-36.0800565,-36.0317949,145.4784472,145.4784689,"Hendys Road, Katunga, Numurkah, Shire of Moira, Victoria, 3636, Australia",way,311209268,nominatim,ok,exact
