,Label,Year,Wholesale trade (no.),Retail trade (no.),Accommodation and food services (no.),"Transport, postal and warehousing (no.)",Information media and telecommunications (no.),Financial and insurance services (no.),"Rental, hiring and real estate services (no.)","Professional, scientific and technical services (no.)",Administrative and support services (no.),Public administration and safety (no.),Education and training (no.),Health care and social assistance (no.),Arts and recreation services (no.),search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
35,SA,2020,5307,8510,6097,11076,980,6003,18164,14953,5855,361,1663,9872,1605,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
36,SA,2021,5349,8844,6415,11119,1040,6139,18605,15578,6141,356,1815,10459,1650,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
37,SA,2022,5498,9160,6683,11688,1097,6477,19269,16265,6623,385,2007,11209,1834,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
38,SA,2023,5604,9101,6692,12626,1103,6627,19584,16498,6989,374,2054,11934,1930,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
39,SA,2024,5747,9038,6845,13975,1130,6866,20204,16884,7237,389,2164,12903,1969,"Western Australia, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
40,WA,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
41,WA,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
42,WA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
43,WA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
44,WA,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
45,WA,2020,6982,12456,8783,20613,1600,10649,25338,28454,9084,616,2801,13836,2695,"Western Australia, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
46,WA,2021,7151,12950,9107,20687,1618,10989,26223,29771,9517,608,2941,14803,2810,"Western Australia, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
47,WA,2022,7216,13337,9476,20808,1694,11529,27213,31079,10083,615,3117,15955,3067,"Western Australia, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
48,WA,2023,7276,13472,9663,22437,1741,11732,27614,31663,10671,636,3235,17148,3101,"Western Australia, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
49,WA,2024,7248,13545,9820,25526,1793,12106,28409,32420,11181,645,3295,18447,3177,"Western Australia, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
50,TAS,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
51,TAS,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
52,TAS,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
53,TAS,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
