,project_name,state,postcode,fuel_source,capacity_mw,project_stage,stage_date,accreditation_start_date,accreditation_code,search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
38,Ormeau,QLD,4208,Solar,0.659,approved,2025-02-19,2025-01-22,SRPXQLH2,"Ormeau, QLD, 4208, Australia",-27.774813,153.2520815,-27.7998430,-27.7497870,153.2272050,153.2855470,"Ormeau, Gold Coast City, Queensland, 4208, Australia",relation,11678050,nominatim,ok,exact
39,Symbion,NSW,2178,Solar,1.751,approved,2025-02-19,2025-01-31,SRPYNS67,"NSW, 2178, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
40,AFS Cadell Balranald,NSW,2715,Solar,4.827,approved,2025-02-21,2024-12-02,SRPYNS44,"NSW, 2715, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Gate 2 Avenue, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2033, Australia",way,173530296,nominatim,ok,postcode
41,AU544 Interlink Estate,NSW,2759,Solar,0.54,approved,2025-02-21,2024-12-29,SRPYNS62,"NSW, 2759, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
42,BAE Williamtown,NSW,2318,Solar,0.416,approved,2025-02-21,2025-02-17,SRPYNS77,"NSW, 2318, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Gate 2 Avenue, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2033, Australia",way,173530296,nominatim,ok,postcode
43,Bunnings Greenacre,NSW,2190,Solar,0.2,approved,2025-02-21,2024-11-15,SRPYNS33,"Bunnings Greenacre, NSW, 2190, Australia",-33.9012514,151.066317,-33.9017525,-33.9008374,151.0652228,151.0674141,"Bunnings Warehouse, Bulk Pick Up & Trade, Greenacre, Sydney, Strathfield Municipal Council, New South Wales, 2190, Australia",way,685331381,nominatim,ok,exact
44,Caloundra NMI 31173199012,QLD,4551,Solar,0.228,approved,2025-02-21,2025-01-07,SRPXQLG7,"QLD, 4551, Australia",-26.8339243,152.9650657,-26.8402552,-26.8276377,152.9586711,152.9730111,"Australia Zoo, 1638, Steve Irwin Way, Beerwah, Sunshine Coast Regional, Queensland, 4519, Australia",way,193842643,nominatim,ok,postcode
45,HMC Capital Marsden Park,NSW,2765,Solar,0.24,approved,2025-02-21,2025-02-04,SRPYNS68,"NSW, 2765, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
46,HMC Glenmore Park Shopping Centre,NSW,2745,Solar,0.5,approved,2025-02-21,2025-02-06,SRPYNS69,"NSW, 2745, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
47,Lambert Estate Wines Pty Ltd,SA,5353,Solar,0.223,approved,2025-02-21,2024-12-03,SRPVSAY3,"SA, 5353, Australia",-34.097735,139.1556029,-34.1267870,-34.0367039,139.0949723,139.2314232,"Australia Plains, The Regional Council of Goyder, South Australia, 5374, Australia",relation,6539875,nominatim,ok,postcode
48,Martin Brower Dandenong,VIC,3175,Solar,0.625,approved,2025-02-21,2024-12-20,SRPXVCI1,"VIC, 3175, Australia",-37.8688729,145.2126338,-37.8690250,-37.8686207,145.2124983,145.2127695,"Melbourne Australia Temple, Pumps Court, Wantirna South, Melbourne, City of Knox, Victoria, 3152, Australia",way,24054567,nominatim,ok,postcode
49,Mt Annan Christian College,NSW,2567,Solar,0.22,approved,2025-02-21,2024-12-05,SRPYNS50,"Mt Annan Christian College, NSW, 2567, Australia",-34.0480793,150.7771765,-34.0496383,-34.0462271,150.7753138,150.7791938,"Mount Annan Christian College, Steamer Place, Currans Hill, Sydney, Camden Council, New South Wales, 2567, Australia",way,253279415,nominatim,ok,exact
50,Scalabrini Chipping Norton,NSW,2170,Solar,0.335,approved,2025-02-21,2025-02-17,SRPYNS76,"Scalabrini Chipping Norton, NSW, 2170, Australia",-33.9227105,150.9510903,-33.9236457,-33.9218828,150.9502875,150.9522422,"Scalabrini Residential Aged Care Village, 99, Epsom Road, Chipping Norton, Sydney, Liverpool City Council, New South Wales, 2170, Australia",way,1275432233,nominatim,ok,exact
51,Woolworths Darra 2695,QLD,4076,Solar,0.25,approved,2025-02-21,2025-01-20,SRPXQLH1,"QLD, 4076, Australia",-27.4809085,153.0337429,-27.4810455,-27.4807450,153.0334930,153.0339932,"Brisbane Australia Temple, 200, River Terrace, Kangaroo Point, Greater Brisbane, Queensland, 4169, Australia",way,602269498,nominatim,ok,postcode
52,Woolworths Ingham 2723,QLD,4850,Solar,0.275,approved,2025-02-21,2025-02-04,SRPXQLH4,"QLD, 4850, Australia",-18.650869,146.1551545,-18.6509190,-18.6508190,146.1551045,146.1552045,"Ingham Post Office, Bruce Highway, Ingham, Hinchinbrook Shire, Queensland, Australia",node,5733224922,nominatim,ok,postcode
53,Woolworths Seaford 5646,SA,5169,Solar,0.275,approved,2025-02-21,2025-02-04,SRPVSAZ1,"SA, 5169, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
54,MNCLHD Coffs Harbour Health Campus,NSW,2450,Solar,1.323,approved,2025-02-24,2024-11-18,SRPYNS28,"NSW, 2450, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Gate 2 Avenue, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2033, Australia",way,173530296,nominatim,ok,postcode
55,Tip Top Chullora,NSW,2190,Solar,2.018,approved,2025-02-24,2024-12-20,SRPYNS61,"NSW, 2190, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
56,OZLEMFOODSWA,QLD,4207,Solar,0.443,approved,2025-03-05,2024-07-12,SRPXQLC4,"QLD, 4207, Australia",-27.5419813,153.0791853,-27.5422586,-27.5411197,153.0788750,153.0796915,"Hillsong Brisbane Campus, 16, Rover Street, Mount Gravatt Central, Mount Gravatt, Greater Brisbane, Queensland, 4122, Australia",relation,15268146,nominatim,ok,postcode
57,Somerville Gardens Care Community,VIC,3912,Solar,0.24,approved,2025-03-06,2024-12-16,SRPXVCP3,"VIC, 3912, Australia",-37.8688729,145.2126338,-37.8690250,-37.8686207,145.2124983,145.2127695,"Melbourne Australia Temple, Pumps Court, Wantirna South, Melbourne, City of Knox, Victoria, 3152, Australia",way,24054567,nominatim,ok,postcode
58,Big W Mildura 560,VIC,3500,Solar,0.2,approved,2025-03-07,2025-02-25,SRPXVCK5,"VIC, 3500, Australia",-34.1837683,142.1434093,-34.1839358,-34.1836008,142.1432084,142.1436102,"Thirteenth Street Extension, Mildura, Rural City of Mildura, Victoria, 3500, Australia",way,526346357,nominatim,ok,postcode
59,Bunnings Maitland,NSW,2320,Solar,0.24,approved,2025-03-07,2025-02-14,SRPYNS73,"Bunnings Maitland, NSW, 2320, Australia",-32.72527,151.5409579,-32.7253200,-32.7252200,151.5409079,151.5410079,"Bunnings Warehouse, Johnson Street, Maitland, Newcastle-Maitland, Maitland City Council, New South Wales, 2320, Australia",node,1444362331,nominatim,ok,exact
60,Clean Peak Energy - Goulburn Marketplace,NSW,2580,Solar,0.288,approved,2025-03-07,2024-12-17,SRPYNS41,"NSW, 2580, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Gate 2 Avenue, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2033, Australia",way,173530296,nominatim,ok,postcode
61,Covenant Christian School,NSW,2085,Solar,0.181,approved,2025-03-07,2025-02-11,SRPYNS71,"Covenant Christian School, NSW, 2085, Australia",-33.7132842,151.215465,-33.7141612,-33.7127932,151.2138670,151.2170501,"Covenant Christian School, 212, Forest Way, Belrose, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2085, Australia",way,690570893,nominatim,ok,exact
62,EWH Food Services Kingsgrove,NSW,2208,Solar,0.325,approved,2025-03-07,2025-02-11,SRPYNS70,"NSW, 2208, Australia",-33.8737539,151.2095867,-33.8738039,-33.8737039,151.2095367,151.2096367,"HarperCollins Publishers Australia, 201, Elizabeth Street, Koreatown, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia",node,6602426833,nominatim,ok,postcode
63,Frasers Woolworths Liquor Warehouse,QLD,4207,Solar,0.501,approved,2025-03-07,2025-02-14,SRPXQLH7,"QLD, 4207, Australia",-27.5419813,153.0791853,-27.5422586,-27.5411197,153.0788750,153.0796915,"Hillsong Brisbane Campus, 16, Rover Street, Mount Gravatt Central, Mount Gravatt, Greater Brisbane, Queensland, 4122, Australia",relation,15268146,nominatim,ok,postcode
64,"Scalabrini ""The Village"" Drummoyne",NSW,2047,Solar,0.235,approved,2025-03-07,2025-02-17,SRPYNS75,"NSW, 2047, Australia",-33.8737539,151.2095867,-33.8738039,-33.8737039,151.2095367,151.2096367,"HarperCollins Publishers Australia, 201, Elizabeth Street, Koreatown, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia",node,6602426833,nominatim,ok,postcode
65,Woolworths Katoomba 1787,NSW,2780,Solar,0.275,approved,2025-03-07,2025-02-19,SRPXNSX6,"NSW, 2780, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
66,Agile Energy - BWY - 200kW,QLD,4208,Solar,0.2,approved,2025-03-17,2025-03-01,SRPXQLE1,"QLD, 4208, Australia",-27.5419813,153.0791853,-27.5422586,-27.5411197,153.0788750,153.0796915,"Hillsong Brisbane Campus, 16, Rover Street, Mount Gravatt Central, Mount Gravatt, Greater Brisbane, Queensland, 4122, Australia",relation,15268146,nominatim,ok,postcode
67,Aussie Pride Produce,VIC,3634,Solar,0.148,approved,2025-03-17,2024-10-28,SRPXVCP0,"VIC, 3634, Australia",-38.165166,144.3376679,-38.1751660,-38.1551660,144.3276679,144.3476679,"Australia, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",node,12137181988,nominatim,ok,postcode
68,Campari,VIC,3026,Solar,0.65,approved,2025-03-17,2024-10-03,SRPXVCO5,"Campari, VIC, 3026, Australia",-37.8140896,144.9613184,-37.8141683,-37.8140115,144.9612162,144.9614200,"Campari House, Kirks Lane, Melbourne, City of Melbourne, Victoria, 3000, Australia",way,48380446,nominatim,ok,exact
69,Chep Pallets,SA,5110,Solar,0.252,approved,2025-03-17,2024-09-13,SRPVSAW7,"SA, 5110, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
70,"Heidke St, Avoca",QLD,4670,Solar,0.198,approved,2025-03-17,2024-10-30,SRPXQLF6,"Heidke St, Avoca, QLD, 4670, Australia",-24.8866567,152.3197084,-24.8873173,-24.8859547,152.3188338,152.3206169,"Heidke Street, Sugarland Shoppingtown, Avoca, Bundaberg, Bundaberg Region, Queensland, 4670, Australia",way,174579229,nominatim,ok,exact
71,HNELHD Tamworth,NSW,2340,Solar,1.063,approved,2025-03-17,2025-02-26,SRPYNS82,"NSW, 2340, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Gate 2 Avenue, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2033, Australia",way,173530296,nominatim,ok,postcode
72,ISLHD Shoalhaven Hospital,NSW,2541,Solar,0.5,approved,2025-03-17,2025-02-17,SRPYNS79,"NSW, 2541, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Gate 2 Avenue, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2033, Australia",way,173530296,nominatim,ok,postcode
73,Kingspan Insulated Panels Pty Limited,NSW,2760,Solar,0.16,approved,2025-03-17,2024-12-20,SRPYNS60,"NSW, 2760, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
74,Ornatas Tasmanian Lobster Hatchery,QLD,4816,Solar,0.158,approved,2025-03-17,2024-09-30,SRPXQLE5,"QLD, 4816, Australia",-19.320136,146.7237144,-19.3201860,-19.3200860,146.7236644,146.7237644,"Hog's Australia's Steakhouse Cannon Park, High Range Drive, Thuringowa Central, Townsville, Townsville City, Queensland, 4817, Australia",node,5574095110,nominatim,ok,postcode
75,Goyder South Wind Farm 1B,SA,5417,Wind,195.693,approved,2025-03-27,2024-11-11,WD00SA24,"SA, 5417, Australia",-34.097735,139.1556029,-34.1267870,-34.0367039,139.0949723,139.2314232,"Australia Plains, The Regional Council of Goyder, South Australia, 5374, Australia",relation,6539875,nominatim,ok,postcode
76,Agile Energy - ECB - 348kW,NSW,2250,Solar,0.348,approved,2025-03-31,2024-10-01,SRPYNS08,"NSW, 2250, Australia",-33.8737539,151.2095867,-33.8738039,-33.8737039,151.2095367,151.2096367,"HarperCollins Publishers Australia, 201, Elizabeth Street, Koreatown, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia",node,6602426833,nominatim,ok,postcode
77,ATCO Gas Australia Jandakot Microgrid,WA,6164,Solar,0.301,approved,2025-03-31,2021-03-12,SRPVWAL0,"WA, 6164, Australia",-31.950652,115.7978755,-31.9887127,-31.9478379,115.7778725,115.8225371,"University of Western Australia, 35, Stirling Highway, Nedlands, City of Nedlands, Western Australia, 6009, Australia",relation,7398658,nominatim,ok,postcode
78,Caloundra NMI 3117361486,QLD,4551,Solar,0.348,approved,2025-03-31,2025-03-03,SRPXQLH8,"QLD, 4551, Australia",-26.8339243,152.9650657,-26.8402552,-26.8276377,152.9586711,152.9730111,"Australia Zoo, 1638, Steve Irwin Way, Beerwah, Sunshine Coast Regional, Queensland, 4519, Australia",way,193842643,nominatim,ok,postcode
79,City of Stirling (Administration Centre),WA,6021,Solar,0.47,approved,2025-03-31,2024-12-04,SRPVWAM6,"City of Stirling (Administration Centre), WA, 6021, Australia",-31.8898314,115.8087639,-31.8902616,-31.8893051,115.8083385,115.8094550,"City of Stirling Administration Centre, 25, Cedric Street, Stirling, City of Stirling, Western Australia, 6021, Australia",way,121677733,nominatim,ok,exact
80,Concord Hospital - 313.2kW,NSW,2138,Solar,0.314,approved,2025-03-31,2024-11-04,SRPVNSY6,"NSW, 2138, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
81,CQFMS,QLD,4740,Solar,0.307,approved,2025-03-31,2024-11-29,SRPXQLG1,"QLD, 4740, Australia",-21.1416067,149.1868383,-21.1418333,-21.1414374,149.1867077,149.1869706,"National Australia Bank, Sydney Street, Mackay, Mackay Regional, Queensland, 4740, Australia",way,179388117,nominatim,ok,postcode
82,Mirvac Switchyards Building 2,NSW,2144,Solar,0.2,approved,2025-03-31,2025-03-05,SRPYNS84,"NSW, 2144, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
83,Seaford Central,SA,5169,Solar,0.465,approved,2025-03-31,2025-02-05,SRPVSAW3,"Seaford Central, SA, 5169, Australia",-35.1897115,138.479378,-35.1903775,-35.1881478,138.4784119,138.4799536,"Seaford Central Shopping Centre, 108, Grand Boulevard, Seaford, Adelaide, City of Onkaparinga, South Australia, 5169, Australia",way,252977614,nominatim,ok,exact
84,Stockland Rockhampton Shopping Centre,QLD,4701,Solar,2.673,approved,2025-03-31,2025-01-16,SRPXQLG6,"QLD, 4701, Australia",-23.3475196,150.5375404,-23.3475558,-23.3474626,150.5374607,150.5376220,"Australia Post, Dean Street, Frenchville, Rockhampton, Rockhampton Regional, Queensland, 4701, Australia",way,883635478,nominatim,ok,postcode
85,The Good Shepherd Home,QLD,4814,Solar,0.314,approved,2025-03-31,2025-02-27,SRPXQLE0,"The Good Shepherd Home, QLD, 4814, Australia",-19.3101982,146.7628243,-19.3102482,-19.3101482,146.7627743,146.7628743,"The Good Shepherd Home, Douglas Garbutt Road, Annandale, Townsville, Townsville City, Queensland, 4814, Australia",node,5590749665,nominatim,ok,exact
86,Waverley Valley Care Community,VIC,3150,Solar,0.15,approved,2025-03-31,2025-02-19,SRPXVCI5,"VIC, 3150, Australia",-37.8688729,145.2126338,-37.8690250,-37.8686207,145.2124983,145.2127695,"Melbourne Australia Temple, Pumps Court, Wantirna South, Melbourne, City of Knox, Victoria, 3152, Australia",way,24054567,nominatim,ok,postcode
87,B&J Greenacre,NSW,2190,Solar,0.4,approved,2025-04-01,2025-02-28,SRPYNS81,"NSW, 2190, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
88,Bunnings Eastgardens,NSW,2036,Solar,0.34,approved,2025-04-01,2024-11-15,SRPYNS32,"Bunnings Eastgardens, NSW, 2036, Australia",-33.94916,151.224651,-33.9492100,-33.9491100,151.2246010,151.2247010,"Bunnings Warehouse, Smith Street, Hillsdale, Eastern Suburbs, Sydney, Bayside Council, New South Wales, 2036, Australia",node,6138731746,nominatim,ok,exact
89,CH3059 Midwest Logistics Hub (INGH1),VIC,3029,Solar,1.0,approved,2025-04-01,2025-03-11,SRPXVCQ1,"VIC, 3029, Australia",-37.7545199,144.9807272,-37.7546410,-37.7543988,144.9803279,144.9811265,"Islamic Museum of Australia, 15A, Anderson Road, Thornbury, Melbourne, City of Darebin, Victoria, 3071, Australia",way,267164272,nominatim,ok,postcode
90,"Macaulay Rd, Kensington",VIC,3031,Solar,0.198,approved,2025-04-01,2025-03-05,SRPXVCK3,"Macaulay Rd, Kensington, VIC, 3031, Australia",-37.7947585,144.9331311,-37.7949031,-37.7946138,144.9318641,144.9343982,"Macaulay Road, Kensington, Melbourne, City of Melbourne, Victoria, 3031, Australia",way,1127643080,nominatim,ok,exact
91,MF Logistics Bvd,WA,6107,Solar,0.781,approved,2025-04-01,2024-12-12,SRPVWAN0,"WA, 6107, Australia",-31.950652,115.7978755,-31.9887127,-31.9478379,115.7778725,115.8225371,"University of Western Australia, 35, Stirling Highway, Nedlands, City of Nedlands, Western Australia, 6009, Australia",relation,7398658,nominatim,ok,postcode
92,Mirvac Switchyards Building 6,NSW,2144,Solar,0.2,approved,2025-04-01,2025-02-25,SRPYNS37,"NSW, 2144, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
93,Oxley Grove Care Community,QLD,4077,Solar,0.278,approved,2025-04-02,2025-02-19,SRPXQL34,"QLD, 4077, Australia",-27.5419813,153.0791853,-27.5422586,-27.5411197,153.0788750,153.0796915,"Hillsong Brisbane Campus, 16, Rover Street, Mount Gravatt Central, Mount Gravatt, Greater Brisbane, Queensland, 4122, Australia",relation,15268146,nominatim,ok,postcode
94,Stubbo,NSW,2852,Solar,520.393,approved,2025-04-02,2024-12-20,SRPXNSW7,"Stubbo, NSW, 2852, Australia",-32.2818,149.5679,-32.3482883,-32.2059829,149.4999782,149.6266351,"Stubbo, Mid-Western Regional Council, New South Wales, 2852, Australia",relation,6059261,nominatim,ok,exact
95,123 Sippy Downs,QLD,4556,Solar,0.2,approved,2025-04-09,2025-02-28,SRPXQLB7,"123 Sippy Downs, QLD, 4556, Australia",-26.7257935,153.0783709,-26.7405560,-26.7110490,153.0443610,153.1224110,"Sippy Downs, Sunshine Coast Regional, Queensland, 4556, Australia",relation,11675214,nominatim,ok,exact
96,Agile Energy - RetireVerge 152kW,QLD,4220,Solar,0.152,approved,2025-04-09,2025-01-28,SRPXQLH5,"QLD, 4220, Australia",-28.0920694,153.4440298,-28.0921194,-28.0920194,153.4439798,153.4440798,"Intrapac Property QLD, 79-81, West Burleigh Road, Burleigh Heads, Burleigh Waters, Gold Coast City, Queensland, 4220, Australia",node,6200182522,nominatim,ok,postcode
97,Baked Provisions Sydney - 200.2kW,NSW,2170,Solar,0.2,approved,2025-04-09,2025-02-14,SRPYNS72,"NSW, 2170, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
98,Chadstone Freshfood,VIC,3145,Solar,0.733,approved,2025-04-09,2025-03-27,SRPXVCQ3,"VIC, 3145, Australia",-37.7545199,144.9807272,-37.7546410,-37.7543988,144.9803279,144.9811265,"Islamic Museum of Australia, 15A, Anderson Road, Thornbury, Melbourne, City of Darebin, Victoria, 3071, Australia",way,267164272,nominatim,ok,postcode
99,Mcdonald College,NSW,2137,Solar,0.253,approved,2025-04-09,2025-03-20,SRPYNS86,"Mcdonald College, NSW, 2137, Australia",-33.8586747,151.0872662,-33.8598727,-33.8575780,151.0865171,151.0880915,"The Mcdonald College, Hamilton Street, North Strathfield, Inner West, Sydney, City of Canada Bay Council, New South Wales, 2137, Australia",way,508125119,nominatim,ok,exact
100,Moe Newborough,VIC,3825,Solar,0.189,approved,2025-04-09,2025-01-29,SRPXVCI2,"Moe Newborough, VIC, 3825, Australia",-38.175432,146.3240489,-38.1788622,-38.1732014,146.3171557,146.3299873,"John Field Drive, Newborough, Yallourn, City of Latrobe, Victoria, 3825, Australia",way,782976638,nominatim,ok,exact
101,Nepean Hospital - Kingswood,NSW,2747,Solar,0.52,approved,2025-04-09,2025-03-14,SRPYNS83,"Nepean Hospital - Kingswood, NSW, 2747, Australia",-33.7599321,150.7134912,-33.7615011,-33.7574607,150.7111111,150.7162947,"Nepean Hospital, Great Western Highway, Kingswood, Penrith, Sydney, Penrith City Council, New South Wales, 2747, Australia",relation,13718349,nominatim,ok,exact
102,PFI Darra,QLD,4076,Solar,0.246,approved,2025-04-09,2025-01-16,SRPXQLH0,"QLD, 4076, Australia",-27.4809085,153.0337429,-27.4810455,-27.4807450,153.0334930,153.0339932,"Brisbane Australia Temple, 200, River Terrace, Kangaroo Point, Greater Brisbane, Queensland, 4169, Australia",way,602269498,nominatim,ok,postcode
103,REMONDIS-Tomago,NSW,2322,Solar,0.551,approved,2025-04-09,2025-01-11,SRPYNS64,"NSW, 2322, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Wansey Road Shared Path, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2031, Australia",way,173530296,nominatim,ok,postcode
104,Story Fresh Produce,QLD,4358,Solar,0.201,approved,2025-04-09,2025-03-24,SRPXQLI3,"QLD, 4358, Australia",-27.5950998,151.9504979,-27.5959201,-27.5935447,151.9500467,151.9510758,"Australia Post, Kearneys Spring, Toowoomba, Toowoomba Regional, Queensland, 4350, Australia",way,980609297,nominatim,ok,postcode
105,TIP TOP Carrara,QLD,4211,Solar,0.221,approved,2025-04-09,2025-03-26,SRPXQLI2,"QLD, 4211, Australia",-27.9903729,153.3338425,-27.9906162,-27.9901009,153.3335680,153.3341166,"Services Australia - Nerang, 37-39, Cotton Street, Nerang, Gold Coast City, Queensland, 4211, Australia",way,1220283549,nominatim,ok,postcode
106,Truganina,VIC,3029,Solar,0.293,approved,2025-04-09,2025-02-26,SRPXVCP7,"Truganina, VIC, 3029, Australia",-37.8089015,144.721139,-37.8687390,-37.7348140,144.6594550,144.7691970,"Truganina, Melbourne, City of Wyndham, Victoria, 3029, Australia",relation,2425468,nominatim,ok,exact
107,UPS SCS Australia,NSW,2175,Solar,0.4,approved,2025-04-09,2024-12-20,SRPYNS59,"NSW, 2175, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
108,Petstock DC Avalon,VIC,3212,Solar,0.4,approved,2025-04-10,2025-02-19,SRPXVCJ7,"VIC, 3212, Australia",-38.165166,144.3376679,-38.1751660,-38.1551660,144.3276679,144.3476679,"Australia, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",node,12137181988,nominatim,ok,postcode
109,REMONDIS-Wingfield,SA,5013,Solar,0.397,approved,2025-04-10,2025-01-11,SRPVSAZ0,"SA, 5013, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
110,BAE Systems Edinburgh Parks,SA,5111,Solar,0.162,approved,2025-04-11,2025-04-02,SRPVSAZ7,"SA, 5111, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
111,Latrobe Leisure Morwell,VIC,3840,Solar,0.214,approved,2025-04-14,2025-03-24,SRPXVCQ2,"VIC, 3840, Australia",-38.165166,144.3376679,-38.1751660,-38.1551660,144.3276679,144.3476679,"Australia, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",node,12137181988,nominatim,ok,postcode
112,Acacia Ridge,QLD,4110,Solar,0.444,approved,2025-04-15,2025-02-20,SRPXQLB1,"Acacia Ridge, QLD, 4110, Australia",-27.5857312,153.025206,-27.6057312,-27.5657312,153.0052060,153.0452060,"Acacia Ridge, Greater Brisbane, Queensland, 4180, Australia",node,106438405,nominatim,ok,exact
113,GPE_LYKA WELLNESS,VIC,3175,Solar,0.499,approved,2025-04-15,2025-04-02,SRPXVCQ5,"VIC, 3175, Australia",-37.8688729,145.2126338,-37.8690250,-37.8686207,145.2124983,145.2127695,"Melbourne Australia Temple, Pumps Court, Wantirna South, Melbourne, City of Knox, Victoria, 3152, Australia",way,24054567,nominatim,ok,postcode
