,project_name,state,postcode,fuel_source,capacity_mw,project_stage,stage_date,accreditation_start_date,accreditation_code,search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
342,Mount Hopeful Wind Farm,QLD,,Wind,350.0,probable,,,,"Mount Hopeful Wind Farm, QLD, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
343,Northern Midlands Solar Farm,TAS,,Solar,288.0,probable,,,,"Northern Midlands Solar Farm, TAS, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
344,Palmer Wind Farm,SA,,Wind,288.0,probable,,,,"Palmer Wind Farm, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
345,Planet Ark Power - Schneider Electricity PV and Battery Project,SA,,Solar,5.7,probable,,,,"Planet Ark Power - Schneider Electricity PV and Battery Project, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
346,Port Augusta Energy Park Stage 2,SA,,Solar,300.0,probable,,,,"Port Augusta Energy Park Stage 2, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
347,Sandy Creek Solar Farm,NSW,,Solar,700.0,probable,,,,"Sandy Creek Solar Farm, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
348,Sapphire Solar Farm,NSW,,Solar,200.0,probable,,,,"Sapphire Solar Farm, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
349,Silverleaf Solar Farm,NSW,,Solar,120.0,probable,,,,"Silverleaf Solar Farm, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
350,Smoky Creek and Guthrie's Gap Solar Farm,QLD,,Solar,600.0,probable,,,,"Smoky Creek and Guthrie's Gap Solar Farm, QLD, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
351,Snowtown North Solar Farm,SA,,Solar,44.0,probable,,,,"Snowtown North Solar Farm, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
352,Spicers Creek Wind Farm,NSW,,Wind,700.0,probable,,,,"Spicers Creek Wind Farm, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
353,Theodore Wind Farm,QLD,,Wind,1152.0,probable,,,,"Theodore Wind Farm, QLD, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
354,Thunderbolt Wind Farm stage 1,NSW,,Wind,230.0,probable,,,,"Thunderbolt Wind Farm stage 1, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
355,Upper Calliope Solar Farm,QLD,,Solar,1300.0,probable,,,,"Upper Calliope Solar Farm, QLD, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
356,Vales Point Solar Farm,NSW,,Solar,62.0,probable,,,,"Vales Point Solar Farm, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
357,Valley of the Winds,NSW,,Wind,936.0,probable,,,,"Valley of the Winds, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
358,Vast Solar Facility - VS1,SA,,Solar,30.0,probable,,,,"Vast Solar Facility - VS1, SA, Australia",-30.5343665,135.6301212,-38.1133108,-25.9963915,129.001395,141.0027803,"South Australia, Australia",relation,2316596,nominatim,ok,state
359,Walgett Solar Farm,NSW,,Solar,25.0,probable,,,,"Walgett Solar Farm, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
360,Waroona Solar Fam,WA,,Solar,120.0,probable,,,,"Waroona Solar Fam, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
361,West Mokoan Solar Farm,VIC,,Solar,300.0,probable,,,,"West Mokoan Solar Farm, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
362,Winton North Solar Farm,VIC,,Solar,100.0,probable,,,,"Winton North Solar Farm, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
363,Woolsthorpe Wind Farm,VIC,,Wind,70.0,probable,,,,"Woolsthorpe Wind Farm, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
